fold,loss,acc,f1,auc,n_val
1,9.964293125678193,0.648854961832061,0.7461368653421634,0.6507255483338898,655
2,0.4333380001286666,0.8092715231788079,0.847457627118644,0.9068075639599555,755
3,1.3009102210402488,0.6738056013179572,0.6867088607594937,0.756913328061852,607
4,3.873143407702446,0.5529225908372828,0.6650887573964497,0.6920659191301393,633
5,0.7975835867903449,0.6393188854489165,0.6537890044576523,0.7361175337186898,646
