accuracy,f1,roc_auc,fold
0.4,0.18181818181818182,0.44642857142857145,1
0.4,0.3076923076923077,0.44642857142857145,2
0.5714285714285714,0.625,0.4489795918367347,3
0.5714285714285714,0.25,0.5510204081632653,4
0.42857142857142855,0.42857142857142855,0.489795918367347,5
