accuracy,f1,roc_auc,fold
0.7,0.7567567567567568,0.74,1
0.6,0.7,0.68,2
0.6666666666666666,0.7727272727272727,0.7655502392344498,3
0.7931034482758621,0.85,0.8631578947368421,4
0.6896551724137931,0.7692307692307693,0.7578947368421053,5
