iter	Logloss
0	0.6764019276
1	0.6619594179
2	0.6452067803
3	0.6334197603
4	0.621051591
5	0.6079138394
6	0.5962533622
7	0.5874199703
8	0.5754645775
9	0.5673658437
10	0.5586581395
11	0.5499719751
12	0.5385529091
13	0.5286538354
14	0.51929783
15	0.5109406175
16	0.5007230824
17	0.4935023538
18	0.4852367927
19	0.4750297152
20	0.4653904027
21	0.4574035118
22	0.4488701656
23	0.4408100391
24	0.4347910717
25	0.4275192392
26	0.4214684059
27	0.4152054622
28	0.4100652892
29	0.4037812332
30	0.3970671029
31	0.391700646
32	0.3863508948
33	0.3795598129
34	0.3743435432
35	0.3690342081
36	0.3619737954
37	0.3568008028
38	0.3537953147
39	0.3486973006
40	0.3448926334
41	0.3391520402
42	0.335298012
43	0.3302657029
44	0.3263388667
45	0.3231518186
46	0.3196717295
47	0.3144415494
48	0.3095972456
49	0.3047494888
50	0.299811429
51	0.2964217087
52	0.2921749641
53	0.28877745
54	0.2855566617
55	0.2827137914
56	0.2793219994
57	0.2769576763
58	0.2734495525
59	0.2693246809
60	0.2657718001
61	0.2627147477
62	0.2580679367
63	0.2556397339
64	0.2533566047
65	0.2513980208
66	0.2477581748
67	0.2458802914
68	0.2441735432
69	0.2416113821
70	0.2398904603
71	0.2366327746
72	0.2344861853
73	0.2314515607
74	0.2296729252
75	0.2261561525
76	0.2238282006
77	0.2201011756
78	0.2176366674
79	0.2149619234
80	0.2125220792
81	0.2106654562
82	0.2084904704
83	0.2064267685
84	0.2042331202
85	0.2026717087
86	0.2013761422
87	0.1991501183
88	0.1964009055
89	0.1940699775
90	0.192155279
91	0.1897040564
92	0.1880019287
93	0.1866439951
94	0.1845484602
95	0.1828119015
96	0.1803871188
97	0.1784461942
98	0.1771600493
99	0.174682387
100	0.1730839795
101	0.1718847669
102	0.1703862157
103	0.168567789
104	0.1672547275
105	0.1661401946
106	0.1644217886
107	0.1628501826
108	0.1610748028
109	0.1599324818
110	0.1580639543
111	0.1569195945
112	0.1551195013
113	0.1537512089
114	0.1530814006
115	0.1507070311
116	0.1493796973
117	0.1475529342
118	0.1458228868
119	0.1440135035
120	0.1426712069
121	0.1406041178
122	0.1393184662
123	0.1376723339
124	0.1365642219
125	0.1353749242
126	0.1343622948
127	0.1330586302
128	0.1319750917
129	0.1306693883
130	0.1294293897
131	0.128205916
132	0.1270783359
133	0.1261472949
134	0.125350837
135	0.1241870913
136	0.1231620147
137	0.1221495497
138	0.1207841758
139	0.1198753982
140	0.1189788292
141	0.1176211341
142	0.1163484639
143	0.1152502751
144	0.1140426438
145	0.1131829887
146	0.1124305396
147	0.1114217824
148	0.110443888
149	0.1095565516
150	0.1084617911
151	0.1079222745
152	0.1067830612
153	0.1055178724
154	0.1046505961
155	0.103605961
156	0.1029463472
157	0.1018496546
158	0.1008482966
159	0.09947241586
