gait_representation,modality,subjects,prevalence,accuracy,f1,auc,ap,weight
TUG,gait,181,0.5414364640883977,0.7513812154696132,0.7804878048780488,0.810794197196951,0.801531881917158,0.3641617994710643
TUG,handwriting,73,0.5068493150684932,0.547945205479452,0.5822784810126582,0.5683183183183182,0.5459769548697926,0.2552556767015132
TUG,speech,290,0.4896551724137931,0.7793103448275862,0.7777777777777778,0.8473543966501714,0.8439184005860597,0.3805825238274224
Concat,gait,181,0.5414364640883977,0.7458563535911602,0.7604166666666666,0.7849766412589131,0.7775355826306372,0.3567022792784249
Concat,handwriting,73,0.5068493150684932,0.547945205479452,0.5822784810126582,0.5683183183183182,0.5459769548697926,0.2582502826768334
Concat,speech,290,0.4896551724137931,0.7793103448275862,0.7777777777777778,0.8473543966501714,0.8439184005860597,0.3850474380447416
