gait_representation,strategy,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,n_bootstrap
TUG,softmax_auc_weighted,0.7275471991172011,0.0709527332605217,0.5833232689210951,0.8559052083333333,2000
TUG,auc_weighted,0.7207834023763404,0.0734638192441486,0.5716364601018675,0.8559222775764894,2000
Concat,softmax_auc_weighted,0.7159660452031031,0.07260504465734983,0.571422371031746,0.852273209600247,2000
TUG,equal,0.7126106817699649,0.07299136090071925,0.5625,0.8493589743589743,2000
Concat,auc_weighted,0.7089553343697278,0.07390932488406651,0.5560763888888889,0.8466850649350648,2000
Concat,equal,0.7006287714772769,0.07354142444352638,0.5484387414587637,0.836545,2000
TUG,confidence_weighted,0.6961893030824435,0.07466403848668444,0.5449779411764705,0.8370205648920493,2000
Concat,confidence_weighted,0.6763383302465715,0.07687586278073937,0.5240384615384616,0.8196745893719805,2000
