accuracy,precision,recall,f1,roc_auc,fold,best_inner_auc
0.7272727272727273,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.7619047619047619,1,0.7539961013645224
0.6363636363636364,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.638095238095238,2,0.7048732943469785
0.5909090909090909,0.631578947368421,0.8571428571428571,0.7272727272727273,0.7142857142857143,3,0.7964912280701754
0.7142857142857143,0.7222222222222222,0.9285714285714286,0.8125,0.7346938775510204,4,0.734307992202729
0.6666666666666666,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7142857142857143,5,0.7405458089668616
