AUROC,Precision,Recall,Accuracy,F1,fold,thr
0.8845238095238096,0.8148148148148148,0.7857142857142857,0.8103448275862069,0.8,1,0.3576244091254823
0.8416666666666667,0.75,0.75,0.7586206896551724,0.75,2,0.35229750082907485
0.8702380952380953,0.6341463414634146,0.9285714285714286,0.7068965517241379,0.7536231884057971,3,0.3179884302455445
0.8620689655172414,0.6666666666666666,0.896551724137931,0.7241379310344828,0.7647058823529411,4,0.31179212146294066
0.8549346016646848,0.7027027027027027,0.896551724137931,0.7586206896551724,0.7878787878787878,5,0.3076532254614323
