model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
gpc_rbf,0.7094252873563218,0.050609966814026866,0.784254541327712,0.033832733179954305,0.7287272727272727,0.029131047605108432
lightgbm,0.7158620689655172,0.04150205294917235,0.7875945492248444,0.03018569942095653,0.7318373205741626,0.030720900428357435
logistic_regression,0.6947126436781609,0.09745269287400309,0.7408789461730638,0.08299572534488989,0.7415933014354067,0.10642579117949558
random_forest,0.6560919540229885,0.07627629855833207,0.7361275850749536,0.05825081880955025,0.7433397129186602,0.043113982689007915
svm_rbf,0.7429885057471265,0.021938671891190663,0.781437908496732,0.017765278189379872,0.7618708133971291,0.05770448593229336
xgboost,0.6958620689655172,0.024241703588899405,0.7760412757973734,0.018289988736989008,0.7335358851674642,0.032495904932258166
