model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc,oof_threshold,oof_accuracy,oof_precision,oof_recall,oof_f1,oof_roc_auc,rank
lightgbm,0.7134199134199134,0.06491485977134835,0.773133484162896,0.05295410659286999,0.8038095238095238,0.08599952539024233,0.7865382317801674,0.06123046565830292,0.7827380952380952,0.034143036054359636,0.41999999999999993,0.7037037037037037,0.717391304347826,0.9166666666666666,0.8048780487804879,0.7391975308641975,1
random_forest,0.7043290043290044,0.058874458874458864,0.8122435897435898,0.026813268129743172,0.7209523809523809,0.10077252622027658,0.760741528483464,0.06337703377447161,0.773656462585034,0.035995989744808526,0.43999999999999995,0.7129629629629629,0.7303370786516854,0.9027777777777778,0.8074534161490683,0.7538580246913581,2
gpc_rbf,0.6670995670995671,0.05019405382038353,0.7016374269005847,0.03969791198536876,0.8742857142857142,0.0540932259853826,0.7773257422091093,0.03573919878676449,0.7126530612244898,0.04117214521019863,0.48999999999999994,0.7037037037037037,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.6936728395061729,3
