fold,accuracy,precision,recall,f1,auc,best_epoch
1,0.855781185246581,0.8733624454148472,0.9718172983479106,0.9199632014719411,0.5062209994661848,25
2,0.760081466395112,0.7853535353535354,0.9593830334190231,0.8636889608886832,0.22859670346287614,2
3,0.8610098906819365,1.0,0.8610098906819365,0.9253146853146853,,5
4,0.6966938188787734,1.0,0.6966938188787734,0.8212369387178763,,10
5,0.6520547945205479,0.6875,0.909915014164306,0.7832236039990246,0.3678151109836124,2
