Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]
1	0.0078125	0.0661513524613368	-0.275227937022508	0.950377589558996	1.56221448751928	1.7729932546335	-1.41564020548439
2	0.015625	0.0638330481975333	-0.274804330988147	0.954190426083784	1.49657960388264	1.635637038286	-1.22985390034877
3	0.0234375	0.0655018879464443	-0.279104493621782	0.952888044125931	1.66589775035831	1.60028683744236	-1.06213290403869
4	0.03125	0.0620479367610004	-0.27382532894053	0.952652076049604	1.73982994711784	1.56267484056317	-0.87832799712655
5	0.0390625	0.0578073835405636	-0.274288952347111	0.955401062041605	1.56173829792689	1.53339664947245	-0.778752535653987
6	0.046875	0.0568395877191195	-0.275238340261302	0.954280833248936	1.56603373882753	1.55917395847339	-1.23249349687042
7	0.0546875	0.0613280472775744	-0.277008693539853	0.954256288484929	1.7357639053627	1.57220571411079	-0.988466573818459
8	0.0625	0.0571924412593759	-0.276848279884565	0.955917643657063	1.60009356409934	1.62528393962208	-1.05831015226372
9	0.0703125	0.0578340680406724	-0.27542598041214	0.953830605208996	1.52828745442949	1.75157819407306	-1.30345835645624
10	0.078125	0.0604202310272183	-0.274773461001443	0.952698242657216	1.49504633609999	1.79626153161906	-1.37816554034871
11	0.0859375	0.0611979260399482	-0.278498539132787	0.955091876481665	1.49448899960363	1.86100288355138	-1.37138636225767
12	0.09375	0.0599506409390962	-0.276266539450015	0.954857631309526	1.52892566942888	2.03732293046033	-1.20442715694727
13	0.1015625	0.0546379304403429	-0.275583707238576	0.954138474950429	1.49514018371669	2.21560949200131	-1.72157544590996
14	0.109375	0.0647844290987675	-0.279153186956941	0.954118539886812	1.25085011568844	2.20857654495125	-2.37014307384376
15	0.1171875	0.0722043546287942	-0.279012426338014	0.951698670470032	1.39095571974623	2.18428697039248	-1.79036655909707
16	0.125	0.0593599202031713	-0.274733118986149	0.95267402869482	1.42496430713004	2.02994513444961	-0.996202269554158
17	0.1328125	0.0606197500510537	-0.273536051425736	0.951669695176151	1.3898261874489	2.01208399927567	-1.33142398007267
18	0.140625	0.0682538661444241	-0.279949344090611	0.954419292739945	1.6350374210954	2.06239755090218	-1.17232854547396
19	0.1484375	0.0626836985387595	-0.277043325231007	0.953810964288433	1.42205620278273	1.87402491197326	-0.627209792432083
