fold,n_test,acc,f1,auc
0,65,0.7230769230769231,0.8163265306122449,0.7803203661327232
1,47,0.7872340425531915,0.8484848484848485,0.8538306451612903
2,61,0.6885245901639344,0.7912087912087912,0.7297101449275363
3,73,0.7534246575342466,0.8448275862068966,0.7413003663003663
4,60,0.7666666666666667,0.8333333333333334,0.7283272283272284
