fold,AUROC,Precision,Recall,Accuracy,F1
1,0.7928571428571428,0.631578947368421,0.8571428571428571,0.6896551724137931,0.7272727272727273
2,0.7928571428571429,0.7,0.75,0.7241379310344828,0.7241379310344828
3,0.6833333333333333,0.5555555555555556,0.7142857142857143,0.5862068965517241,0.625
4,0.8192627824019025,0.6428571428571429,0.9310344827586207,0.7068965517241379,0.7605633802816901
5,0.7919143876337693,0.6571428571428571,0.7931034482758621,0.6896551724137931,0.71875
