Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]
1	0.0078125	0.0121546407750017	-0.131580859200091	0.987221612656798	-2.1864954175279	1.72072595142867	-0.734773450792918
2	0.015625	0.00823630761589634	-0.134457998831336	0.986506100988315	-2.28627685866776	1.65408109625533	-0.531107109354596
3	0.0234375	0.0120267230842106	-0.132811303731452	0.981717836834663	-2.22505257475312	1.47522802483169	-0.461538592166098
4	0.03125	0.0119996056679263	-0.131800036114312	0.982747293116121	-1.90000863241033	1.5843159257573	-0.450381098219515
5	0.0390625	0.000974221542536873	-0.140763236904722	0.979393431247441	-2.02169289663165	1.61495747324726	-0.790179569265449
6	0.046875	0.0031037254845682	-0.146858488004682	0.974351645652041	-1.54747388570709	1.6199132971111	-1.49608958527845
7	0.0546875	0.00305670895697854	-0.138491910696404	0.980970687183889	0.090114916573559	1.8947022088597	-2.6362566063402
8	0.0625	0.00321810601697083	-0.134651054715998	0.988119902700352	0.610923673034312	2.14624515457242	-3.42273098425986
9	0.0703125	0.00317324771736579	-0.138811128959694	0.983759919851355	0.778085227757175	2.06928431985129	-3.98854255272539
10	0.078125	0.00165849253097957	-0.140414800062965	0.977787706094502	1.65881467194717	2.11180574278211	-4.75083318228547
11	0.0859375	0.00641581783701744	-0.131802765933813	0.986531644185698	1.91718109412639	2.27901981725785	-5.33922576435995
12	0.09375	0.00427600052707174	-0.137781580627242	0.980387303762679	1.63050594122649	2.32252343571334	-5.86966417312059
13	0.1015625	-0.00352293094431609	-0.13875754991746	0.971738529186638	2.81355195460737	2.69922821617628	-6.93381263358038
14	0.109375	-0.00327374022489195	-0.126019487496484	0.986186819207348	4.17055190838321	2.74328995461204	-8.01449900163555
15	0.1171875	0.00327236057403507	-0.132107657321733	0.992223319167584	3.81485398284612	2.909396630414	-8.38345532040957
16	0.125	0.0171976307822602	-0.125438455641742	0.992270584032718	2.82149840076295	3.19887226502968	-8.22425365802672
17	0.1328125	0.0199949633522786	-0.129520951695149	0.987335861345111	1.76263417925695	3.25996643975359	-7.85413127246061
18	0.140625	0.0199534956164444	-0.133850828517385	0.984514441864	1.78321826151815	3.19865510892951	-7.55694246145366
19	0.1484375	0.0196555434158182	-0.129799530773583	0.988739076729204	1.20508903034272	3.01496661214762	-6.47425215746752
20	0.15625	0.0149538555915437	-0.12681289742274	0.987027074180267	0.742722857418213	3.0580478053928	-5.90638953509039
21	0.1640625	0.0168632757980969	-0.12158871001052	0.985235419348724	0.372266723324154	2.73514985157884	-5.40809109258486
22	0.171875	0.0179934222218856	-0.133577505331391	0.979097665553833	-0.265657328500617	2.6718571568046	-4.92885481255435
23	0.1796875	0.0162561569295079	-0.130788761073856	0.980976203481203	0.409983799045093	2.73601412319528	-5.32678607544039
24	0.1875	0.0147047586972231	-0.133564046983601	0.987748015632214	0.00775033688752724	2.6006938027029	-5.57497630664539
25	0.1953125	0.0159036804306151	-0.13323210570248	0.978655232607594	0.0336453982717061	2.56210384907435	-5.13879035478559
26	0.203125	0.020398002750477	-0.130136364399957	0.984953116778359	0.24416299482829	2.52900684191151	-5.16340257601817
27	0.2109375	0.0192233365735312	-0.129667356957994	0.988275229452102	0.110541103660733	2.56400827333106	-4.77518239641529
28	0.21875	0.016333826746913	-0.125932995573701	0.988718973643731	-0.111102463452894	2.52677322006896	-3.48102375830261
29	0.2265625	0.022816907310299	-0.127371751106511	0.990368301086927	-0.471078333547655	2.53153539270285	-3.25012363983947
30	0.234375	0.0231833923858545	-0.1250484272213	0.983442818106936	-0.605791869669652	2.38368319291583	-2.46585773570427
