fold,loss,acc,f1,auc,n_val
1,1.748966148123145,0.5959595959595959,0.6625421822272216,0.712582810320781,1485
2,2.1739080182236172,0.6131883072739633,0.7309692671394799,0.6668378757439066,1471
3,3.9104585113084833,0.6435643564356436,0.7385892116182573,0.5945131335932691,1414
4,1.6072497075796128,0.7192530585962653,0.7243994943109987,0.7754950371589605,1553
5,1.4136009065864177,0.6318377381684082,0.7225567392311255,0.6690120504379155,1627
