accuracy,f1,roc_auc,fold
0.4666666666666667,0.2,0.5446428571428572,1
0.6,0.25,0.49107142857142855,2
0.7142857142857143,0.6,0.8571428571428572,3
0.5,0.0,0.4897959183673469,4
0.5,0.0,0.3979591836734694,5
