"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn55105521","CONTROLS - Demographic+Clinical - datasetV1.csv","4","text/csv","27500","3474226","1711992027164","3474226","1752081257763","syn55052683","https://www.synapse.org/#!Synapse:syn55105521.4","a8cda6bee6c414bc1c6cfb0ab7c69962"
"syn55105530","PD - Demographic+Clinical - datasetV1.csv","3","text/csv","126192","3474226","1711992028190","3474226","1753189732079","syn55052683","https://www.synapse.org/#!Synapse:syn55105530.3","0a1d1e8931f61c39d318837bc70f232f"
