Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]
1	0.0078125	-0.05212425024159	-0.116391594566895	0.985770113336205	1.28240698570779	0.998177074935769	-1.48555128647528
2	0.015625	-0.0521953629985909	-0.119321474494663	0.987928954153978	1.25383219894233	1.07943710520208	-1.36825116495621
3	0.0234375	-0.0504591480994804	-0.121201087998256	0.985195527460223	1.1118854341609	1.1044265366681	-1.10311189919449
4	0.03125	-0.0531276281291654	-0.118133699559672	0.983136870043124	1.18151683503815	1.18310317587375	-1.01077292710472
5	0.0390625	-0.0551256959664696	-0.118043150085319	0.982443077172677	1.18395874159415	1.10618968297783	-1.03682900226076
6	0.046875	-0.0528341319965651	-0.117653507824164	0.985155681992353	1.28332082735935	1.07598220255805	-1.39510293610775
7	0.0546875	-0.05420902105182	-0.118534253088289	0.985295652131566	1.11651969080036	1.28354503667534	-1.35695951073746
8	0.0625	-0.0539875886234786	-0.119327691330167	0.984010386328822	1.14284878789983	1.24902175347597	-1.42831602674915
9	0.0703125	-0.0511161401641636	-0.118565517242317	0.986192425861886	1.18717784836084	1.28570380687959	-1.67563037870691
10	0.078125	-0.0461285196163098	-0.118558413278972	0.986287294280306	1.24613990258297	1.24698313758258	-1.88603207549116
11	0.0859375	-0.0497373750508842	-0.121040167297572	0.988046150409116	1.18767642345591	1.21744016682756	-1.71095894541306
12	0.09375	-0.0516382915695177	-0.120426186277107	0.985663386557067	0.933531093797815	1.10527322738502	-1.56913780877357
13	0.1015625	-0.0505543471452535	-0.120150776717116	0.984759108074062	1.01400056534244	0.973270413407625	-1.67482411458782
14	0.109375	-0.0505774900090911	-0.121547681213835	0.984095121456755	1.03801472962915	0.894301157951687	-1.5350969309765
15	0.1171875	-0.048208253052155	-0.120972980780615	0.982656771026516	1.04818263954171	0.728148358094877	-1.56755651279445
16	0.125	-0.0483057757220365	-0.122169602102309	0.984998009687877	0.969268048388104	0.684371437091032	-1.36048859165228
17	0.1328125	-0.0507171855340081	-0.120356846113581	0.985631805970013	0.977960353512373	0.587069679191327	-1.35414866916069
18	0.140625	-0.053345507113669	-0.119153064075507	0.988131027066102	1.07428058346029	0.65076906791562	-1.22141758850411
19	0.1484375	-0.0539374220087608	-0.122408638345621	0.987838183615862	1.08118989185046	0.690247304436738	-1.42259854832113
20	0.15625	-0.050623713535797	-0.123389090967058	0.98618624728854	1.10992906618039	0.758327215520626	-1.50565794548647
21	0.1640625	-0.0503215923848883	-0.121317113485111	0.984895061484597	1.1149717935628	0.82761683833369	-1.52613630598271
22	0.171875	-0.0537674203262822	-0.120369919368201	0.985491122607216	1.14555851411524	0.901622103136214	-1.64901411195267
23	0.1796875	-0.0510548550808364	-0.121188953870269	0.985090032038559	1.18351608307269	0.894396772652543	-1.48850329957463
24	0.1875	-0.0494004439375902	-0.123404734674964	0.983845507599677	1.25054904302133	0.834928144086749	-1.68667529025833
25	0.1953125	-0.0500561491252859	-0.119600388586634	0.985022630552939	1.18271103677602	0.891030094280354	-1.48611802165057
26	0.203125	-0.0496827939428837	-0.119919739155798	0.985379666620163	1.14716920922014	0.873194118139026	-1.61846500796434
27	0.2109375	-0.0514646253333064	-0.123078248214079	0.985677808427986	1.14726870467685	0.85302133329911	-1.30765620761467
28	0.21875	-0.0533922862980332	-0.120078303574976	0.986185771781286	1.04372668756722	0.875798087090167	-1.37357677708568
29	0.2265625	-0.0496934516764715	-0.122910765064776	0.986092149940642	1.14658029274169	0.815820881746188	-1.62337612224554
30	0.234375	-0.0524928333216525	-0.120497379843983	0.987227667258077	1.11384893349907	0.737248143593792	-1.30429072511365
31	0.2421875	-0.0532662871376572	-0.12054618502382	0.987249550033927	1.07643325030468	0.779723228181746	-1.58732785699773
32	0.25	-0.0503789032893031	-0.120695829051502	0.984599743580974	1.11461294133435	0.667592298973799	-1.51615695503349
33	0.2578125	-0.0512483834003103	-0.1200946649106	0.985747768368592	1.00617311898278	0.709832524503027	-1.55225268989938
34	0.265625	-0.0526342862079964	-0.123819337885475	0.983166902868958	1.01138605563203	0.701802907090607	-1.44498323940634
35	0.2734375	-0.0555684307358351	-0.120830553237343	0.984027162144253	0.970440438143924	0.676238901088692	-1.37702221024099
36	0.28125	-0.0517099343037875	-0.122609834404214	0.986822703136332	0.943087411252687	0.734811794822594	-1.40831771376953
37	0.2890625	-0.050422677029834	-0.121063382216463	0.983307420685067	0.89976224446805	0.713861807403413	-1.30813908083439
38	0.296875	-0.0519792739020178	-0.120933383067803	0.986311464773732	0.840312378408984	0.731745656581419	-1.33605116579618
39	0.3046875	-0.0545434044347404	-0.120556740743136	0.988702498968262	0.828848798037731	0.787450127888231	-1.27460156562465
40	0.3125	-0.0534417510230612	-0.11975103822306	0.986506217168779	0.737759763225737	0.833012980499331	-1.29923008003862
41	0.3203125	-0.0518751512527983	-0.122946175537831	0.985596009491323	0.757735262829656	0.861722191572488	-1.48742668812675
42	0.328125	-0.0536685087670402	-0.121474283527877	0.984731925917076	0.80894863528931	1.00380431442524	-1.29838633801181
43	0.3359375	-0.0545746741135046	-0.119047044333987	0.983481543751206	0.825351699510635	0.901404173539979	-1.4172211464329
44	0.34375	-0.0538824490776023	-0.120774957088798	0.986109327301056	0.810787584458907	0.999017757584019	-1.93336719073136
45	0.3515625	-0.0509586372946764	-0.120233713797807	0.987466821902319	0.788802919799489	1.08152042669742	-1.80411031086188
