representation,model,split,accuracy,f1,auc,ap
TUG,lr_l2,1,0.7027027027027027,0.7027027027027027,0.7294117647058824,0.8079526502013574
TUG,lr_l2,2,0.75,0.8,0.8235294117647058,0.7548118979946421
TUG,lr_l2,3,0.7777777777777778,0.8,0.848297213622291,0.8654482276440321
TUG,lr_l2,4,0.8333333333333334,0.85,0.846875,0.8814265238219547
TUG,lr_l2,5,0.7222222222222222,0.7058823529411765,0.821875,0.8097342009842011
TUG,lr_l2,6,0.6486486486486487,0.6829268292682927,0.7441176470588236,0.7361935329378322
TUG,lr_l2,7,0.6666666666666666,0.7142857142857143,0.758513931888545,0.7938045808008116
TUG,lr_l2,8,0.8333333333333334,0.85,0.9256965944272446,0.9398417234640144
TUG,lr_l2,9,0.7777777777777778,0.8,0.7875000000000001,0.7581825867388022
TUG,lr_l2,10,0.8333333333333334,0.8571428571428571,0.8624999999999999,0.8822765161376518
TUG,lr_l2,11,0.8378378378378378,0.85,0.8558823529411764,0.8707535674679641
TUG,lr_l2,12,0.75,0.7692307692307693,0.8080495356037152,0.8347714691388308
TUG,lr_l2,13,0.75,0.7692307692307693,0.8452012383900929,0.850128570596332
TUG,lr_l2,14,0.6666666666666666,0.7142857142857143,0.715625,0.7116349959483834
TUG,lr_l2,15,0.6388888888888888,0.6666666666666666,0.6812499999999999,0.7586518978058425
TUG,lr_l2,16,0.6756756756756757,0.7142857142857143,0.7147058823529411,0.7818756970998351
TUG,lr_l2,17,0.8333333333333334,0.85,0.8111455108359134,0.7706229660115924
TUG,lr_l2,18,0.8888888888888888,0.8947368421052632,0.891640866873065,0.9050188224499776
TUG,lr_l2,19,0.6944444444444444,0.7317073170731707,0.8374999999999999,0.8779369852692898
TUG,lr_l2,20,0.7777777777777778,0.8095238095238095,0.825,0.7937731770838732
TUG,lr_l2,21,0.7297297297297297,0.7222222222222222,0.8911764705882352,0.9141316459324269
TUG,lr_l2,22,0.7777777777777778,0.8,0.8173374613003096,0.8374086968258851
TUG,lr_l2,23,0.75,0.7804878048780488,0.8421052631578947,0.8958224065809204
