iter	Logloss
0	0.671331768
1	0.6558810507
2	0.6377781714
3	0.6229320591
4	0.6147949867
5	0.6049518442
6	0.5840432776
7	0.5732012041
8	0.5664280082
9	0.5576365027
10	0.5392963817
11	0.5240800497
12	0.5165411249
13	0.5094969968
14	0.4964507765
15	0.4900431228
16	0.4884405469
17	0.482012806
18	0.4708959479
19	0.4636395547
20	0.4561950561
21	0.4501019781
22	0.4436992842
23	0.4387375529
24	0.434209458
25	0.4280162408
26	0.4240359851
27	0.4217031617
28	0.4113962864
29	0.4061179604
30	0.3976600701
31	0.3914727294
32	0.3865220765
33	0.3851837661
34	0.377898136
35	0.3694514334
36	0.3646530196
37	0.3609365217
38	0.3585280279
39	0.3529361479
40	0.3480536089
41	0.3436682469
42	0.3388213958
43	0.3353726711
44	0.332177059
45	0.3270407709
46	0.3234034884
47	0.3205005144
48	0.3172673377
49	0.3134827056
50	0.3104119347
51	0.307745608
52	0.3044822682
53	0.3017929708
54	0.2982514623
55	0.2946009758
56	0.2924506894
57	0.2892418152
58	0.2862819448
59	0.2849794481
60	0.2821456675
61	0.2801874456
62	0.2791301425
63	0.2760229623
64	0.2724882701
65	0.2682177195
66	0.265478666
67	0.2619526891
68	0.2608470657
69	0.2583573736
70	0.2567677162
71	0.255095501
72	0.2517947073
73	0.2491083657
74	0.246746903
75	0.2451090774
76	0.2440207616
77	0.2415676125
78	0.2402037734
79	0.233507786
80	0.2308204755
81	0.2296379835
82	0.225568925
83	0.2244684398
84	0.2220751024
85	0.2198446844
86	0.2187378605
87	0.2145537107
88	0.2118202463
89	0.2085560828
90	0.2067942061
91	0.2047813405
92	0.2029317029
93	0.1998962653
94	0.198224018
95	0.196072013
96	0.1934696986
97	0.1904443548
98	0.1875524009
99	0.1858004125
100	0.185334901
101	0.182271466
102	0.1808420244
103	0.1791675832
104	0.1773614853
105	0.1747117478
106	0.1718112337
107	0.171189814
108	0.1701838382
109	0.1683823971
110	0.1676166837
111	0.1658648222
112	0.1642036667
113	0.1612757001
114	0.1600611164
115	0.1586903288
116	0.155624651
117	0.1536074495
118	0.1522987729
119	0.1510116886
120	0.1480788604
121	0.1462079562
122	0.1438272091
123	0.1421788396
124	0.1415927838
125	0.1395473113
126	0.137993727
127	0.1377853476
128	0.1360966365
129	0.1344606678
130	0.1325619465
131	0.13167285
132	0.1299957251
133	0.1287233402
134	0.1269543629
135	0.1249733598
136	0.1231959584
137	0.1220919291
138	0.121487836
139	0.1211609535
140	0.1201479328
141	0.1188475811
142	0.1172543703
143	0.1162719039
144	0.1148088712
145	0.1129227739
146	0.1117261343
147	0.1114795682
148	0.1104351588
149	0.1096985844
150	0.1088040471
151	0.1068068773
152	0.1056387241
153	0.1049746015
154	0.1041982235
155	0.1029905769
156	0.1011884106
157	0.09982255942
158	0.09846573762
159	0.09796392001
160	0.09741902504
161	0.09619703507
162	0.09557752426
163	0.09454532312
164	0.09307724085
165	0.09139019557
166	0.09025759575
167	0.0899978708
168	0.08885023991
169	0.08836404941
170	0.0868150653
171	0.08560823936
172	0.08476587748
173	0.08379025948
174	0.08333206635
175	0.0829683313
176	0.08188420381
177	0.08087848089
178	0.07963959987
179	0.07874007867
180	0.07684665766
181	0.07670726532
182	0.07607818261
183	0.0756870554
184	0.0748901841
185	0.07442436921
186	0.07336593744
187	0.07239572971
188	0.07205093518
189	0.07118202173
190	0.07020329818
191	0.06927096385
192	0.068018386
193	0.06768185664
194	0.06741419511
195	0.06647749283
196	0.06626187532
197	0.06591531864
198	0.06525908831
199	0.06497621231
200	0.06456044393
201	0.0643092776
202	0.06421144803
203	0.06362689917
204	0.06265363632
205	0.06239273304
206	0.06193965979
207	0.06096780911
208	0.06087944141
209	0.06022495337
210	0.05960382865
211	0.05911610982
212	0.05854811271
213	0.0580726648
214	0.05759721536
215	0.05720303609
216	0.05698885673
217	0.05662356126
218	0.05617027405
219	0.05599966569
220	0.05577524197
221	0.05556602356
222	0.05519033701
223	0.05468268425
224	0.05384280743
225	0.05354122321
226	0.05326646261
227	0.05291567093
228	0.05265486393
229	0.05250778871
230	0.05210943405
231	0.05179658761
232	0.05170733806
233	0.05142283745
234	0.05116320879
235	0.05063948417
236	0.05040057042
237	0.0499594502
238	0.04974177403
239	0.04931942011
240	0.04910516892
241	0.04858360994
242	0.04819893073
243	0.04780458028
