path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC103_SelfPace_mat.csv	syn61370552	HC103_SelfPace_mat.csv	syn61498350	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC103_SelfPace_matTURN.csv	syn61370552	HC103_SelfPace_matTURN.csv	syn61498352	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC103_TUG.csv	syn61370552	HC103_TUG.csv	syn61498358	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC103_TandemGait.csv	syn61370552	HC103_TandemGait.csv	syn61498355	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_Balance.csv	syn61370552	HC104_Balance.csv	syn61498363	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_HurriedPace.csv	syn61370552	HC104_HurriedPace.csv	syn61498373	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_HurriedPace_mat.csv	syn61370552	HC104_HurriedPace_mat.csv	syn61498375	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_SelfPace.csv	syn61370552	HC104_SelfPace.csv	syn61498378	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_SelfPace_mat.csv	syn61370552	HC104_SelfPace_mat.csv	syn61498381	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_SelfPace_matTURN.csv	syn61370552	HC104_SelfPace_matTURN.csv	syn61498386	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_TUG.csv	syn61370552	HC104_TUG.csv	syn61498392	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC104_TandemGait.csv	syn61370552	HC104_TandemGait.csv	syn61498389	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_Balance.csv	syn61370552	HC105_Balance.csv	syn61498399	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_HurriedPace.csv	syn61370552	HC105_HurriedPace.csv	syn61498402	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_HurriedPace_mat.csv	syn61370552	HC105_HurriedPace_mat.csv	syn61498406	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_SelfPace.csv	syn61370552	HC105_SelfPace.csv	syn61498409	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_SelfPace_mat.csv	syn61370552	HC105_SelfPace_mat.csv	syn61498412	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_SelfPace_matTURN.csv	syn61370552	HC105_SelfPace_matTURN.csv	syn61498417	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_TUG.csv	syn61370552	HC105_TUG.csv	syn61498419	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC105_TandemGait.csv	syn61370552	HC105_TandemGait.csv	syn61498418	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_Balance.csv	syn61370552	HC106_Balance.csv	syn61498420	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_HurriedPace.csv	syn61370552	HC106_HurriedPace.csv	syn61498421	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_HurriedPace_mat.csv	syn61370552	HC106_HurriedPace_mat.csv	syn61498422	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_SelfPace.csv	syn61370552	HC106_SelfPace.csv	syn61498423	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_SelfPace_mat.csv	syn61370552	HC106_SelfPace_mat.csv	syn61498424	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_SelfPace_matTURN.csv	syn61370552	HC106_SelfPace_matTURN.csv	syn61498425	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_TUG.csv	syn61370552	HC106_TUG.csv	syn61498431	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC106_TandemGait.csv	syn61370552	HC106_TandemGait.csv	syn61498426	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_Balance.csv	syn61370552	HC107_Balance.csv	syn61498432	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_HurriedPace.csv	syn61370552	HC107_HurriedPace.csv	syn61498433	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_HurriedPace_mat.csv	syn61370552	HC107_HurriedPace_mat.csv	syn61498434	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_SelfPace.csv	syn61370552	HC107_SelfPace.csv	syn61498435	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_SelfPace_mat.csv	syn61370552	HC107_SelfPace_mat.csv	syn61498436	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_SelfPace_matTURN.csv	syn61370552	HC107_SelfPace_matTURN.csv	syn61498437	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_TUG.csv	syn61370552	HC107_TUG.csv	syn61498443	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC107_TandemGait.csv	syn61370552	HC107_TandemGait.csv	syn61498442	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_Balance.csv	syn61370552	HC108_Balance.csv	syn61498444	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_HurriedPace.csv	syn61370552	HC108_HurriedPace.csv	syn61498445	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_HurriedPace_mat.csv	syn61370552	HC108_HurriedPace_mat.csv	syn61498446	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_SelfPace.csv	syn61370552	HC108_SelfPace.csv	syn61498447	True	text/csv				
/ocean/projects/med260006p/shared/biomedAI/project/replica/data/gait/weargait/CONTROL PARTICIPANTS/CSV files/HC108_SelfPace_mat.csv	syn61370552	HC108_SelfPace_mat.csv	syn61498448	True	text/csv				
