feature	n_control	n_patient	missing_rate_overall	outliers_control	outliers_patient
mfcc4V_sma3nz_amean	148	143	0.0	4.0	0.0
mfcc4V_sma3nz_stddevNorm	148	143	0.0	13.0	26.0
mfcc4_sma3_amean	148	143	0.0	3.0	0.0
mfcc4_sma3_stddevNorm	148	143	0.0	14.0	21.0
pause_rate	148	143	0.0	1.0	2.0
pesq	148	143	0.0	0.0	5.0
phonation_ratio	148	143	0.0	7.0	4.0
ppq5_jitter	148	142	0.003436426116838488	14.0	11.0
range_ratio_intensity_db	148	143	0.0	3.0	6.0
rap_jitter	148	142	0.003436426116838488	15.0	10.0
shimmerLocaldB_sma3nz_amean	148	143	0.0	8.0	5.0
shimmerLocaldB_sma3nz_stddevNorm	148	143	0.0	4.0	4.0
si_sdr	148	143	0.0	1.0	0.0
slopeUV0-500_sma3nz_amean	148	143	0.0	4.0	3.0
slopeUV500-1500_sma3nz_amean	148	143	0.0	0.0	2.0
slopeV0-500_sma3nz_amean	148	143	0.0	2.0	0.0
slopeV0-500_sma3nz_stddevNorm	148	143	0.0	13.0	20.0
slopeV500-1500_sma3nz_amean	148	143	0.0	2.0	3.0
slopeV500-1500_sma3nz_stddevNorm	148	143	0.0	31.0	28.0
speaking_rate	148	143	0.0	1.0	2.0
spectralFluxUV_sma3nz_amean	148	143	0.0	12.0	17.0
spectralFluxV_sma3nz_amean	148	143	0.0	13.0	11.0
spectralFluxV_sma3nz_stddevNorm	148	143	0.0	5.0	8.0
spectralFlux_sma3_amean	148	143	0.0	12.0	12.0
spectralFlux_sma3_stddevNorm	148	143	0.0	6.0	10.0
spectral_gravity	147	142	0.006872852233676976	2.0	0.0
spectral_kurtosis	147	142	0.006872852233676976	7.0	4.0
spectral_skewness	147	142	0.006872852233676976	3.0	4.0
spectral_slope	148	142	0.003436426116838488	1.0	2.0
spectral_std_dev	147	142	0.006872852233676976	8.0	4.0
spectral_tilt	148	142	0.003436426116838488	0.0	1.0
std_b1_loc	148	142	0.003436426116838488	10.0	2.0
std_b2_loc	148	142	0.003436426116838488	9.0	2.0
std_f0_hertz	147	142	0.006872852233676976	2.0	2.0
std_f1_loc	148	142	0.003436426116838488	5.0	3.0
std_f2_loc	148	142	0.003436426116838488	3.0	5.0
std_hnr_db	148	143	0.0	5.0	6.0
std_intensity_db	148	143	0.0	2.0	0.0
stoi	148	143	0.0	2.0	5.0
