model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
gpc_rbf,0.6894252873563218,0.07985983228625644,0.7605822247927512,0.059164531568452305,0.7470478468899522,0.026895366309478717
logistic_regression,0.7018390804597701,0.061133867176440114,0.7419444444444444,0.060351976861666365,0.7140574162679425,0.06863947094552121
random_forest,0.7496551724137931,0.0470029219624517,0.8057040035987404,0.03777320194087049,0.8073636363636364,0.033986570794144
svm_rbf,0.7358620689655172,0.04872126224929411,0.7741823641823642,0.037014958238743075,0.7855167464114832,0.047805800538666184
