accuracy,precision,recall,f1,roc_auc,fold,best_inner_auc
0.6363636363636364,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.7333333333333334,1,0.775243664717349
0.7727272727272727,0.8125,0.8666666666666667,0.8387096774193549,0.7714285714285715,2,0.772514619883041
0.6363636363636364,0.8,0.5714285714285714,0.6666666666666666,0.8125,3,0.8041910331384017
0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.7346938775510204,4,0.7512670565302143
0.7619047619047619,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8163265306122449,5,0.734990253411306
